shed_max,algo,srand,maxeval,numevals,ret,topt,fopt,Δfopt_rel,lcoe_opt,shed_rate_opt,xopt_gen,xopt_sto,xopt_pv,xopt_wind
0.0,GN_DIRECT,1,30,30,MAXEVAL_REACHED,0.006278264,0.21309217289009771,-1.5568374113143155,0.21309217289009771,0.0,1707.0,4741.67,2845.83,1422.5
0.0,GN_DIRECT,2,30,30,MAXEVAL_REACHED,0.00956175,0.21309217289009771,-1.5568374113143155,0.21309217289009771,0.0,1707.0,4741.67,2845.83,1422.5
0.0,GN_DIRECT,3,30,30,MAXEVAL_REACHED,0.00644736,0.21309217289009771,-1.5568374113143155,0.21309217289009771,0.0,1707.0,4741.67,2845.83,1422.5
0.0,GN_DIRECT,4,30,30,MAXEVAL_REACHED,0.00907751,0.21309217289009771,-1.5568374113143155,0.21309217289009771,0.0,1707.0,4741.67,2845.83,1422.5
0.0,GN_DIRECT,5,30,30,MAXEVAL_REACHED,0.006396217,0.21309217289009771,-1.5568374113143155,0.21309217289009771,0.0,1707.0,4741.67,2845.83,1422.5
0.0,GN_DIRECT,6,30,30,MAXEVAL_REACHED,0.007597055,0.21309217289009771,-1.5568374113143155,0.21309217289009771,0.0,1707.0,4741.67,2845.83,1422.5
0.0,GN_DIRECT,7,30,30,MAXEVAL_REACHED,0.007053812,0.21309217289009771,-1.5568374113143155,0.21309217289009771,0.0,1707.0,4741.67,2845.83,1422.5
0.0,GN_DIRECT,8,30,30,MAXEVAL_REACHED,0.006244827,0.21309217289009771,-1.5568374113143155,0.21309217289009771,0.0,1707.0,4741.67,2845.83,1422.5
0.0,GN_DIRECT,9,30,30,MAXEVAL_REACHED,0.006920458,0.21309217289009771,-1.5568374113143155,0.21309217289009771,0.0,1707.0,4741.67,2845.83,1422.5
0.0,GN_DIRECT,10,30,30,MAXEVAL_REACHED,0.005337552,0.21309217289009771,-1.5568374113143155,0.21309217289009771,0.0,1707.0,4741.67,2845.83,1422.5
0.0,GN_CRS2_LM,1,30,30,MAXEVAL_REACHED,0.006579665,0.3754148239536745,-0.09117959999418877,0.3754148239536745,0.0,1795.2,15270.94,1452.62,333.33
0.0,GN_CRS2_LM,2,30,30,MAXEVAL_REACHED,0.005383656,0.30155948575629843,-0.34254117650231664,0.30155948575629843,0.0,1992.91,1925.09,5348.01,356.74
0.0,GN_CRS2_LM,3,30,30,MAXEVAL_REACHED,0.006999447,0.26489087916237175,-0.5566294231494661,0.26489087916237175,0.0,1829.11,15299.72,2144.62,1768.82
0.0,GN_CRS2_LM,4,30,30,MAXEVAL_REACHED,0.006750778,0.32464405576995975,-0.24736903878229158,0.32464405576995975,0.0,1731.81,14697.51,10168.8,722.59
0.0,GN_CRS2_LM,5,30,30,MAXEVAL_REACHED,0.005392413,0.23952857537551936,-0.808978575977187,0.23952857537551936,0.0,1966.93,3216.24,415.89,1745.88
0.0,GN_CRS2_LM,6,30,30,MAXEVAL_REACHED,0.006526235,0.30875665612550773,-0.3105726769917461,0.30875665612550773,0.0,1920.07,6005.39,4330.28,3435.1
0.0,GN_CRS2_LM,7,30,30,MAXEVAL_REACHED,0.005365215,0.2787570000004729,-0.4628800423116067,0.2787570000004729,0.0,1957.18,11657.34,907.85,2636.06
0.0,GN_CRS2_LM,8,30,30,MAXEVAL_REACHED,0.006625801,0.3415758043487756,-0.18881378012359798,0.3415758043487756,0.0,1774.45,3472.2,5096.69,4060.99
0.0,GN_CRS2_LM,9,30,30,MAXEVAL_REACHED,0.006093365,0.25997107707835554,-0.5954390027378608,0.25997107707835554,0.0,1627.55,2775.69,2369.13,3012.15
